id,text,label,language,source,split
a1b2c3d4-0001-4000-8000-000000000001,I need to update my credit card details,billing,en,internal_tickets,train
a1b2c3d4-0002-4000-8000-000000000002,My account keeps getting locked out,technical_support,en,internal_tickets,train
a1b2c3d4-0003-4000-8000-000000000003,Can I upgrade to the pro plan?,sales_inquiry,en,internal_tickets,train
a1b2c3d4-0004-4000-8000-000000000004,I want to cancel my subscription,billing,en,internal_tickets,train
a1b2c3d4-0005-4000-8000-000000000005,The app crashes every time I open it,technical_support,en,crowdsource_v1,train
a1b2c3d4-0006-4000-8000-000000000006,How do I change my username?,account_management,en,internal_tickets,train
a1b2c3d4-0007-4000-8000-000000000007,Your service is absolutely fantastic,compliment,en,crowdsource_v1,train
a1b2c3d4-0008-4000-8000-000000000008,This is the worst experience I have ever had,complaint,en,internal_tickets,train
a1b2c3d4-0009-4000-8000-000000000009,I was charged twice this month,billing,en,internal_tickets,train
a1b2c3d4-0010-4000-8000-000000000010,I cannot log in to my account,technical_support,en,internal_tickets,train
a1b2c3d4-0011-4000-8000-000000000011,What are the enterprise pricing options?,sales_inquiry,en,synthetic_gpt4,train
a1b2c3d4-0012-4000-8000-000000000012,Please delete my account and all my data,account_management,en,internal_tickets,train
a1b2c3d4-0013-4000-8000-000000000013,The dashboard is not loading correctly,technical_support,en,crowdsource_v1,train
a1b2c3d4-0014-4000-8000-000000000014,Thank you for the speedy resolution,compliment,en,synthetic_gpt4,train
a1b2c3d4-0015-4000-8000-000000000015,I keep receiving spam emails from you,complaint,en,internal_tickets,train
a1b2c3d4-0016-4000-8000-000000000016,My invoice shows incorrect amounts,billing,en,internal_tickets,train
a1b2c3d4-0017-4000-8000-000000000017,How do I export my data?,account_management,en,synthetic_gpt4,train
a1b2c3d4-0018-4000-8000-000000000018,Do you offer a free trial?,sales_inquiry,en,crowdsource_v1,train
a1b2c3d4-0019-4000-8000-000000000019,I found a bug in the reporting feature,technical_support,en,internal_tickets,train
a1b2c3d4-0020-4000-8000-000000000020,Just wanted to say the new UI is great,compliment,en,crowdsource_v1,train
a1b2c3d4-0021-4000-8000-000000000021,My payment failed but I was still charged,billing,en,internal_tickets,train
a1b2c3d4-0022-4000-8000-000000000022,I need to reset my two-factor authentication,account_management,en,internal_tickets,train
a1b2c3d4-0023-4000-8000-000000000023,Response times have been unacceptable lately,complaint,en,synthetic_gpt4,train
a1b2c3d4-0024-4000-8000-000000000024,Can I get a discount for annual billing?,sales_inquiry,en,internal_tickets,train
a1b2c3d4-0025-4000-8000-000000000025,The API is returning 500 errors consistently,technical_support,en,internal_tickets,train
a1b2c3d4-0026-4000-8000-000000000026,I would like to add a team member,account_management,en,crowdsource_v1,train
a1b2c3d4-0027-4000-8000-000000000027,Where is my refund?,billing,en,internal_tickets,train
a1b2c3d4-0028-4000-8000-000000000028,Do you integrate with Salesforce?,sales_inquiry,en,synthetic_gpt4,train
a1b2c3d4-0029-4000-8000-000000000029,I am locked out and the reset email did not arrive,technical_support,en,internal_tickets,train
a1b2c3d4-0030-4000-8000-000000000030,Your support team helped me so much today,compliment,en,crowdsource_v1,train
a1b2c3d4-0031-4000-8000-000000000031,I was not told about this fee,complaint,en,internal_tickets,train
a1b2c3d4-0032-4000-8000-000000000032,Can I transfer ownership of my account?,account_management,en,synthetic_gpt4,train
a1b2c3d4-0033-4000-8000-000000000033,Something seems off with the system,other,en,internal_tickets,train
a1b2c3d4-0034-4000-8000-000000000034,I love using this product every day,compliment,en,crowdsource_v1,train
a1b2c3d4-0035-4000-8000-000000000035,Notifications are not working on mobile,technical_support,en,internal_tickets,train
a1b2c3d4-0036-4000-8000-000000000036,Please send me a copy of my invoice,billing,en,internal_tickets,val
a1b2c3d4-0037-4000-8000-000000000037,What is the difference between plans?,sales_inquiry,en,synthetic_gpt4,val
a1b2c3d4-0038-4000-8000-000000000038,I cannot find where to change my password,account_management,en,crowdsource_v1,val
a1b2c3d4-0039-4000-8000-000000000039,The search feature returns no results,technical_support,en,internal_tickets,val
a1b2c3d4-0040-4000-8000-000000000040,Everything is working perfectly now,compliment,en,crowdsource_v1,val
a1b2c3d4-0041-4000-8000-000000000041,I am very unhappy with how this was handled,complaint,en,internal_tickets,val
a1b2c3d4-0042-4000-8000-000000000042,Not sure what I am looking at here,other,en,internal_tickets,val
a1b2c3d4-0043-4000-8000-000000000043,I need a VAT invoice for last month,billing,en,internal_tickets,test
a1b2c3d4-0044-4000-8000-000000000044,My files are not syncing correctly,technical_support,en,internal_tickets,test
a1b2c3d4-0045-4000-8000-000000000045,I want to downgrade my plan,account_management,en,internal_tickets,test
a1b2c3d4-0046-4000-8000-000000000046,Do you have volume discounts for startups?,sales_inquiry,en,synthetic_gpt4,test
a1b2c3d4-0047-4000-8000-000000000047,The onboarding experience was excellent,compliment,en,crowdsource_v1,test
a1b2c3d4-0048-4000-8000-000000000048,I have been waiting three days for a reply,complaint,en,internal_tickets,test
a1b2c3d4-0049-4000-8000-000000000049,This does not seem to be working right,other,en,internal_tickets,test
a1b2c3d4-0050-4000-8000-000000000050,How do I enable dark mode?,account_management,en,crowdsource_v1,test
